ds,ipsrc,ipdst,throughput
2025-02-05 09:18:50,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:50,10.252.249.2,10.252.40.101,1082
2025-02-05 09:18:50,10.252.0.2,224.0.0.102,128
2025-02-05 09:18:50,10.252.40.101,10.252.249.2,672
2025-02-05 09:18:50,10.252.249.1,10.252.40.101,13978
2025-02-05 09:18:50,10.252.40.101,10.252.249.3,13594
2025-02-05 09:18:55,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:55,10.252.249.2,10.252.40.101,147
2025-02-05 09:18:55,10.252.0.2,224.0.0.102,256
2025-02-05 09:18:55,10.252.40.101,10.252.249.2,147
2025-02-05 09:18:55,10.252.249.1,10.252.40.101,38016
2025-02-05 09:18:55,10.252.40.101,10.252.249.3,38323
2025-02-05 09:19:00,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:00,10.252.0.2,224.0.0.102,256
2025-02-05 09:19:00,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:00,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:00,10.90.0.1,224.0.1.1,122
2025-02-05 09:19:05,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:05,10.252.249.2,10.252.40.101,147
2025-02-05 09:19:05,10.252.0.2,224.0.0.102,128
2025-02-05 09:19:05,10.252.40.101,10.252.249.2,147
2025-02-05 09:19:05,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:05,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:05,10.90.0.1,224.0.1.1,77
2025-02-05 09:19:10,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:10,10.252.249.2,10.252.40.101,147
2025-02-05 09:19:10,10.252.0.2,224.0.0.102,256
2025-02-05 09:19:10,10.252.40.101,10.252.249.2,147
2025-02-05 09:19:10,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:10,10.252.40.101,10.252.249.3,38170
2025-02-05 09:19:10,10.90.0.1,224.0.1.1,77
2025-02-05 09:19:10,10.90.0.1,255.255.255.255,315
2025-02-05 09:19:15,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:15,10.252.249.2,10.252.40.101,147
2025-02-05 09:19:15,10.252.0.2,224.0.0.102,256
2025-02-05 09:19:15,10.252.40.101,10.252.249.2,147
2025-02-05 09:19:15,10.252.249.1,10.252.40.101,37939
2025-02-05 09:19:15,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:15,10.90.0.1,255.255.255.255,77
2025-02-05 09:19:20,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:20,10.252.249.2,10.252.40.101,282
2025-02-05 09:19:20,10.252.0.2,224.0.0.102,128
2025-02-05 09:19:20,10.252.40.101,10.252.249.2,282
2025-02-05 09:19:20,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:20,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:20,10.90.0.1,255.255.255.255,77
2025-02-05 09:19:25,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:25,10.252.249.2,10.252.40.101,147
2025-02-05 09:19:25,10.252.0.2,224.0.0.102,256
2025-02-05 09:19:25,10.252.40.101,10.252.249.2,147
2025-02-05 09:19:25,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:25,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:25,10.90.0.1,255.255.255.255,77
2025-02-05 09:19:30,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:30,10.252.0.2,224.0.0.102,256
2025-02-05 09:19:30,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:30,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:30,10.90.0.1,255.255.255.255,77
2025-02-05 09:19:35,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:35,10.252.249.2,10.252.40.101,147
2025-02-05 09:19:35,10.252.0.2,224.0.0.102,128
2025-02-05 09:19:35,10.252.40.101,10.252.249.2,147
2025-02-05 09:19:35,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:35,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:35,10.90.0.1,255.255.255.255,77
2025-02-05 09:19:40,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:40,10.252.249.2,10.252.40.101,147
2025-02-05 09:19:40,10.252.0.2,224.0.0.102,256
2025-02-05 09:19:40,10.252.40.101,10.252.249.2,147
2025-02-05 09:19:40,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:40,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:40,10.90.0.1,255.255.255.255,392
2025-02-05 09:19:45,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:45,10.252.249.2,10.252.40.101,147
2025-02-05 09:19:45,10.252.0.2,224.0.0.102,256
2025-02-05 09:19:45,10.252.40.101,10.252.249.2,147
2025-02-05 09:19:45,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:45,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:45,10.90.0.1,255.255.255.255,77
