frame.time_epoch,frame.len
1755249897.858715000,74
1755249897.859847000,74
1755249897.995438000,103
1755249897.995488000,66
1755249897.996578000,66
1755249897.996603000,66
1755249897.996753000,67
1755249898.131555000,66
1755249898.131597000,70
1755249898.132677000,66
1755249898.266711000,166
1755249898.267802000,66
1755249898.267914000,67
1755249898.402546000,66
1755249898.403487000,74
1755249898.404576000,74
1755249898.539204000,66
1755249898.539240000,103
1755249898.540379000,66
1755249898.543644000,67
1755249898.676915000,66
1755249898.678058000,67
1755249898.812305000,66
1755249898.812359000,1414
1755249898.812375000,1414
1755249898.812516000,1414
1755249898.812610000,1414
1755249898.812755000,1414
1755249898.813600000,1414
1755249898.813612000,1414
1755249898.813624000,66
1755249898.813632000,66
1755249898.813637000,66
1755249898.813680000,66
1755249898.813772000,1414
1755249898.813886000,1414
1755249898.813889000,66
1755249898.813973000,1414
1755249898.814775000,66
1755249898.814779000,66
1755249898.814865000,66
1755249898.814956000,66
1755249898.815010000,66
1755249898.947900000,1414
1755249898.947989000,1414
1755249898.948156000,1414
1755249898.948167000,1414
1755249898.948306000,1414
1755249898.948420000,1414
1755249898.948536000,1414
1755249898.948644000,1414
1755249898.948761000,1414
1755249898.948878000,1414
1755249898.948996000,1414
1755249898.949045000,66
1755249898.949078000,66
1755249898.949120000,1414
1755249898.949237000,1414
1755249898.949260000,66
1755249898.949291000,66
1755249898.949370000,1414
1755249898.949397000,66
1755249898.949490000,1414
1755249898.949550000,66
1755249898.949609000,1414
1755249898.949729000,1414
1755249898.949742000,66
1755249898.949853000,1414
1755249898.949973000,1414
1755249898.949983000,66
1755249898.950094000,1414
1755249898.950213000,66
1755249898.950441000,66
1755249898.950671000,66
1755249898.950904000,66
1755249898.951137000,66
1755249899.083984000,1414
1755249899.084052000,1414
1755249899.084131000,1414
1755249899.084253000,1414
1755249899.084369000,1414
1755249899.084487000,1414
1755249899.084604000,1414
1755249899.085162000,1414
1755249899.085170000,1414
1755249899.085216000,66
1755249899.085282000,1414
1755249899.085324000,66
