ipsrc,ipdst,ds,y
10.252.40.101,10.252.249.3,2025-02-05 09:18:53,12566.4
10.252.40.101,10.252.249.3,2025-02-05 09:18:58,11088.0
10.252.40.101,10.252.249.3,2025-02-05 09:19:03,11088.0
10.252.40.101,10.252.249.3,2025-02-05 09:19:08,11110.4
10.252.40.101,10.252.249.3,2025-02-05 09:19:13,11110.4
10.252.40.101,10.252.249.3,2025-02-05 09:19:18,11110.4
10.252.40.101,10.252.249.3,2025-02-05 09:19:23,11110.4
10.252.40.101,10.252.249.3,2025-02-05 09:19:28,11110.4
10.252.40.101,10.252.249.3,2025-02-05 09:19:33,11110.4
10.252.40.101,10.252.249.3,2025-02-05 09:19:38,11088.0
10.252.40.101,10.252.249.3,2025-02-05 09:19:43,11132.8
10.252.40.101,10.252.249.3,2025-02-05 09:19:48,8131.2
