ipsrc,ipdst,ds,y
10.252.40.101,10.252.249.2,2025-02-05 09:18:52,112.0
10.252.40.101,10.252.249.2,2025-02-05 09:18:57,24.533333333333335
10.252.40.101,10.252.249.2,2025-02-05 09:19:02,24.533333333333335
10.252.40.101,10.252.249.2,2025-02-05 09:19:07,24.533333333333335
10.252.40.101,10.252.249.2,2025-02-05 09:19:12,24.533333333333335
10.252.40.101,10.252.249.2,2025-02-05 09:19:17,24.533333333333335
10.252.40.101,10.252.249.2,2025-02-05 09:19:22,22.4
10.252.40.101,10.252.249.2,2025-02-05 09:19:27,24.533333333333335
10.252.40.101,10.252.249.2,2025-02-05 09:19:32,24.533333333333335
10.252.40.101,10.252.249.2,2025-02-05 09:19:37,24.533333333333335
10.252.40.101,10.252.249.2,2025-02-05 09:19:42,24.533333333333335
10.252.40.101,10.252.249.2,2025-02-05 09:19:47,24.533333333333335
