ds,ipsrc,ipdst,y
2025-10-06 10:33:00,10.252.0.2,10.0.0.18,442
2025-10-06 10:33:00,10.90.0.1,10.0.1.1,433
2025-10-06 10:33:00,10.252.40.101,10.252.249.3,3549
2025-10-06 10:33:00,10.90.0.1,10.0.0.255,423
2025-10-06 10:33:00,10.252.249.2,10.252.40.101,437
2025-10-06 10:33:00,10.252.249.1,10.252.40.101,3549
2025-10-06 10:33:00,10.252.249.3,10.252.40.101,5
2025-10-06 10:33:00,10.252.0.2,10.0.0.102,433
2025-10-06 10:33:00,10.252.40.101,10.252.249.2,447
2025-10-06 10:33:30,10.252.40.101,10.252.249.2,141
2025-10-06 10:33:30,10.252.249.1,10.252.40.101,9390
2025-10-06 10:33:30,10.252.249.2,10.252.40.101,141
2025-10-06 10:33:30,10.252.249.3,10.252.40.101,78
2025-10-06 10:33:30,10.252.40.101,10.252.249.3,9385
2025-10-06 10:33:30,10.252.0.2,10.0.0.18,71
2025-10-06 10:33:30,10.90.0.1,10.0.1.1,70
2025-10-06 10:33:30,10.252.0.2,10.0.0.102,71
2025-10-06 10:33:30,10.90.0.1,10.0.0.255,70
