ds,ipsrc,ipdst,throughput
2025-02-05 09:19:05,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:05,10.252.249.2,10.252.40.101,344
2025-02-05 09:19:05,10.252.0.2,224.0.0.102,192
2025-02-05 09:19:05,10.252.40.101,10.252.249.2,242
2025-02-05 09:19:05,10.252.249.1,10.252.40.101,32045
2025-02-05 09:19:05,10.252.40.101,10.252.249.3,31987
2025-02-05 09:19:05,10.90.0.1,224.0.1.1,30
2025-02-05 09:19:25,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:25,10.252.249.2,10.252.40.101,181
2025-02-05 09:19:25,10.252.0.2,224.0.0.102,224
2025-02-05 09:19:25,10.252.40.101,10.252.249.2,181
2025-02-05 09:19:25,10.252.249.1,10.252.40.101,38054
2025-02-05 09:19:25,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:25,10.90.0.1,224.0.1.1,19
2025-02-05 09:19:25,10.90.0.1,255.255.255.255,79
2025-02-05 09:19:45,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:45,10.252.249.2,10.252.40.101,110
2025-02-05 09:19:45,10.252.0.2,224.0.0.102,224
2025-02-05 09:19:45,10.252.40.101,10.252.249.2,110
2025-02-05 09:19:45,10.252.249.1,10.252.40.101,38074
2025-02-05 09:19:45,10.252.40.101,10.252.249.3,38093
2025-02-05 09:19:45,10.90.0.1,255.255.255.255,98
