ipsrc,ipdst,timestamp,src_port,dst_port,protocol,flags,packet_length,throughput,ipsrc_original,ipdst_original
10.252.0.2,10.0.0.18,2025-02-05 09:19:15,,,VRRP,,1200,320,10.252.0.2,224.0.0.18
10.252.249.2,10.252.40.101,2025-02-05 09:19:15,,,SCTP,,1044,278,10.252.249.2,10.252.40.101
10.252.0.2,10.0.0.102,2025-02-05 09:19:15,,,UDP,,800,213,10.252.0.2,224.0.0.102
10.252.40.101,10.252.249.2,2025-02-05 09:19:15,,,SCTP,,788,210,10.252.40.101,10.252.249.2
10.252.249.1,10.252.40.101,2025-02-05 09:19:15,,,GTP,,127680,34048,10.252.249.1,10.252.40.101
10.252.40.101,10.252.249.3,2025-02-05 09:19:15,,,GTP,,127584,34022,10.252.40.101,10.252.249.3
10.90.0.1,10.0.1.1,2025-02-05 09:19:15,,,UDP,,76,20,10.90.0.1,224.0.1.1
10.90.0.1,10.0.0.255,2025-02-05 09:19:15,,,UDP,,197,53,10.90.0.1,255.255.255.255
10.252.0.2,10.0.0.18,2025-02-05 09:19:45,,,VRRP,,1200,320,10.252.0.2,224.0.0.18
10.252.249.2,10.252.40.101,2025-02-05 09:19:45,,,SCTP,,544,145,10.252.249.2,10.252.40.101
10.252.0.2,10.0.0.102,2025-02-05 09:19:45,,,UDP,,800,213,10.252.0.2,224.0.0.102
10.252.40.101,10.252.249.2,2025-02-05 09:19:45,,,SCTP,,544,145,10.252.40.101,10.252.249.2
10.252.249.1,10.252.40.101,2025-02-05 09:19:45,,,GTP,,142800,38080,10.252.249.1,10.252.40.101
10.252.40.101,10.252.249.3,2025-02-05 09:19:45,,,GTP,,142848,38093,10.252.40.101,10.252.249.3
10.90.0.1,10.0.0.255,2025-02-05 09:19:45,,,UDP,,245,65,10.90.0.1,255.255.255.255
