iperf3: error - unable to connect to server: Connection timed out
 port 51805 connected to 192.168.0.201 port 59598
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   460 KBytes  3.77 Mbits/sec    0   94.8 KBytes       
[  5]   1.00-2.00   sec  1.50 MBytes  12.6 Mbits/sec   31   92.1 KBytes       
[  5]   2.00-3.00   sec   256 KBytes  2.10 Mbits/sec  153   48.7 KBytes       
[  5]   3.00-4.00   sec   384 KBytes  3.15 Mbits/sec   86    116 KBytes       
[  5]   4.00-5.00   sec   384 KBytes  3.15 Mbits/sec   42   88.2 KBytes       
[  5]   5.00-6.00   sec   384 KBytes  3.14 Mbits/sec    2   93.5 KBytes       
[  5]   6.00-7.00   sec   256 KBytes  2.10 Mbits/sec   22   76.4 KBytes       
[  5]   7.00-8.00   sec   384 KBytes  3.15 Mbits/sec    0   82.9 KBytes       
[  5]   8.00-9.00   sec   384 KBytes  3.15 Mbits/sec    0   82.9 KBytes       
[  5]   9.00-10.00  sec   256 KBytes  2.10 Mbits/sec    0   82.9 KBytes       
[  5]  10.00-11.00  sec   384 KBytes  3.15 Mbits/sec    0   85.6 KBytes       
[  5]  11.00-12.00  sec   384 KBytes  3.15 Mbits/sec    0   92.1 KBytes       
[  5]  12.00-13.00  sec   384 KBytes  3.15 Mbits/sec    0    107 KBytes       
[  5]  13.00-14.00  sec   384 KBytes  3.15 Mbits/sec   28   82.9 KBytes       
[  5]  14.00-15.00  sec   384 KBytes  3.15 Mbits/sec    0    103 KBytes       
[  5]  15.00-16.00  sec   384 KBytes  3.15 Mbits/sec    9   79.0 KBytes       
[  5]  16.00-17.00  sec   256 KBytes  2.10 Mbits/sec    0   85.6 KBytes       
[  5]  17.00-18.00  sec   384 KBytes  3.15 Mbits/sec    0   86.9 KBytes       
[  5]  18.00-19.00  sec   384 KBytes  3.15 Mbits/sec    0   86.9 KBytes       
[  5]  19.00-20.00  sec   384 KBytes  3.15 Mbits/sec    0   88.2 KBytes       
[  5]  20.00-21.00  sec   384 KBytes  3.15 Mbits/sec    0   94.8 KBytes       
[  5]  21.00-22.00  sec   384 KBytes  3.15 Mbits/sec    0    108 KBytes       
[  5]  22.00-23.00  sec   384 KBytes  3.15 Mbits/sec    9   82.9 KBytes       
[  5]  23.00-24.00  sec   512 KBytes  4.19 Mbits/sec    0    104 KBytes       
[  5]  24.00-25.00  sec   384 KBytes  3.15 Mbits/sec    7   79.0 KBytes       
[  5]  25.00-26.00  sec   384 KBytes  3.15 Mbits/sec    0   86.9 KBytes       
[  5]  26.00-27.00  sec   256 KBytes  2.10 Mbits/sec    7   64.5 KBytes       
