ds,y,ipsrc,ipdst
2025-02-05 09:19:28,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:29,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:30,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:31,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:32,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:33,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:34,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:35,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:36,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:37,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:38,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:39,640.0,10.252.0.2,224.0.0.102
2025-02-05 09:19:30,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:31,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:32,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:33,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:34,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:35,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:36,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:37,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:38,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:39,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:40,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:41,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:42,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:43,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:44,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:45,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:46,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:47,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:48,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:49,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:50,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:51,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:52,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:53,320.0,10.252.0.2,224.0.0.18
2025-02-05 09:19:31,38009.80653088947,10.252.249.1,10.252.40.101
2025-02-05 09:19:32,38029.497535792565,10.252.249.1,10.252.40.101
2025-02-05 09:19:33,38049.18854069566,10.252.249.1,10.252.40.101
2025-02-05 09:19:34,38068.87954559874,10.252.249.1,10.252.40.101
2025-02-05 09:19:35,38088.570550501834,10.252.249.1,10.252.40.101
