ipsrc,ipdst,timestamp,src_port,dst_port,protocol,flags,packet_length,throughput
10.252.0.2,224.0.0.18,2025-02-05 09:18:46,,,VRRP,,40,320
10.252.0.2,224.0.0.18,2025-02-05 09:18:47,,,VRRP,,40,320
10.252.0.2,224.0.0.18,2025-02-05 09:18:48,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:18:48,,,SCTP,,80,640
10.252.0.2,224.0.0.102,2025-02-05 09:18:48,,,UDP,,80,640
10.252.40.101,10.252.249.2,2025-02-05 09:18:48,,,SCTP,,48,384
10.252.249.2,10.252.40.101,2025-02-05 09:18:49,,,SCTP,,548,4384
10.252.40.101,10.252.249.2,2025-02-05 09:18:49,,,SCTP,,412,3296
10.252.249.1,10.252.40.101,2025-02-05 09:18:49,,,GTP,,3984,31872
10.252.40.101,10.252.249.3,2025-02-05 09:18:49,,,GTP,,3840,30720
10.252.0.2,224.0.0.18,2025-02-05 09:18:50,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:18:50,,,SCTP,,48,384
10.252.249.1,10.252.40.101,2025-02-05 09:18:50,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:18:50,,,GTP,,4704,37632
10.252.0.2,224.0.0.18,2025-02-05 09:18:51,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:18:51,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:18:51,,,GTP,,4752,38016
10.252.40.101,10.252.249.3,2025-02-05 09:18:51,,,GTP,,4896,39168
10.252.0.2,224.0.0.18,2025-02-05 09:18:52,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:18:52,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:18:52,,,GTP,,4800,38400
10.252.0.2,224.0.0.18,2025-02-05 09:18:53,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:18:53,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:18:53,,,GTP,,4800,38400
10.252.0.2,224.0.0.18,2025-02-05 09:18:54,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:18:54,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:18:54,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:18:54,,,GTP,,4848,38784
10.252.0.2,224.0.0.18,2025-02-05 09:18:55,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:18:55,,,SCTP,,92,736
10.252.40.101,10.252.249.2,2025-02-05 09:18:55,,,SCTP,,92,736
10.252.249.1,10.252.40.101,2025-02-05 09:18:55,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:18:55,,,GTP,,4800,38400
10.252.0.2,224.0.0.18,2025-02-05 09:18:56,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:18:56,,,GTP,,4752,38016
10.252.40.101,10.252.249.3,2025-02-05 09:18:56,,,GTP,,4752,38016
10.252.0.2,224.0.0.18,2025-02-05 09:18:57,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:18:57,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:18:57,,,GTP,,4656,37248
10.252.40.101,10.252.249.3,2025-02-05 09:18:57,,,GTP,,4704,37632
10.252.0.2,224.0.0.18,2025-02-05 09:18:58,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:18:58,,,GTP,,4800,38400
10.252.40.101,10.252.249.3,2025-02-05 09:18:58,,,GTP,,4896,39168
10.90.0.1,224.0.1.1,2025-02-05 09:18:58,,,UDP,,76,608
10.252.0.2,224.0.0.18,2025-02-05 09:18:59,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:18:59,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:18:59,,,GTP,,4704,37632
10.90.0.1,224.0.1.1,2025-02-05 09:18:59,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:00,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:00,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:00,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:00,,,GTP,,4800,38400
10.90.0.1,224.0.1.1,2025-02-05 09:19:00,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:01,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:01,,,SCTP,,92,736
10.252.40.101,10.252.249.2,2025-02-05 09:19:01,,,SCTP,,92,736
10.252.249.1,10.252.40.101,2025-02-05 09:19:01,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:01,,,GTP,,4752,38016
10.90.0.1,224.0.1.1,2025-02-05 09:19:01,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:02,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:02,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:02,,,GTP,,4800,38400
10.90.0.1,224.0.1.1,2025-02-05 09:19:02,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:03,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:03,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:03,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:03,,,GTP,,4608,36864
10.90.0.1,224.0.1.1,2025-02-05 09:19:03,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:04,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:04,,,GTP,,4752,38016
10.252.40.101,10.252.249.3,2025-02-05 09:19:04,,,GTP,,4896,39168
10.90.0.1,224.0.1.1,2025-02-05 09:19:04,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:05,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:05,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:05,,,GTP,,4704,37632
10.90.0.1,224.0.1.1,2025-02-05 09:19:05,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:06,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:06,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:06,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:06,,,GTP,,4800,38400
10.90.0.1,224.0.1.1,2025-02-05 09:19:06,,,UDP,,48,384
10.90.0.1,255.255.255.255,2025-02-05 09:19:06,,,UDP,,197,1576
10.252.0.2,224.0.0.18,2025-02-05 09:19:07,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:07,,,SCTP,,92,736
10.252.40.101,10.252.249.2,2025-02-05 09:19:07,,,SCTP,,92,736
10.252.249.1,10.252.40.101,2025-02-05 09:19:07,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:07,,,GTP,,4704,37632
10.90.0.1,255.255.255.255,2025-02-05 09:19:07,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:08,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:08,,,GTP,,4752,38016
10.252.40.101,10.252.249.3,2025-02-05 09:19:08,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:08,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:09,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:09,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:09,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:09,,,GTP,,4800,38400
10.90.0.1,255.255.255.255,2025-02-05 09:19:09,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:10,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:10,,,GTP,,4752,38016
10.252.40.101,10.252.249.3,2025-02-05 09:19:10,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:10,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:11,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:11,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:11,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:11,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:12,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:12,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:12,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:12,,,GTP,,4704,37632
10.90.0.1,255.255.255.255,2025-02-05 09:19:12,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:13,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:13,,,SCTP,,92,736
10.252.40.101,10.252.249.2,2025-02-05 09:19:13,,,SCTP,,92,736
10.252.249.1,10.252.40.101,2025-02-05 09:19:13,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:13,,,GTP,,4800,38400
10.90.0.1,255.255.255.255,2025-02-05 09:19:13,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:14,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:14,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:14,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:14,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:15,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:15,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:15,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:15,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:15,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:16,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:16,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:16,,,GTP,,4800,38400
10.90.0.1,255.255.255.255,2025-02-05 09:19:16,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:17,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:17,,,GTP,,4752,38016
10.252.40.101,10.252.249.3,2025-02-05 09:19:17,,,GTP,,4704,37632
10.90.0.1,255.255.255.255,2025-02-05 09:19:17,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:18,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:18,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:18,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:18,,,GTP,,4704,37632
10.90.0.1,255.255.255.255,2025-02-05 09:19:18,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:19,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:19,,,SCTP,,92,736
10.252.40.101,10.252.249.2,2025-02-05 09:19:19,,,SCTP,,92,736
10.252.249.1,10.252.40.101,2025-02-05 09:19:19,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:19,,,GTP,,4848,38784
10.90.0.1,255.255.255.255,2025-02-05 09:19:19,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:20,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:20,,,SCTP,,84,672
10.252.40.101,10.252.249.2,2025-02-05 09:19:20,,,SCTP,,84,672
10.252.249.1,10.252.40.101,2025-02-05 09:19:20,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:20,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:20,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:21,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:21,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:21,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:21,,,GTP,,4800,38400
10.90.0.1,255.255.255.255,2025-02-05 09:19:21,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:22,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:22,,,GTP,,4752,38016
10.252.40.101,10.252.249.3,2025-02-05 09:19:22,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:22,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:23,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:23,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:23,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:23,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:24,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:24,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:24,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:24,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:24,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:25,,,VRRP,,40,320
10.252.249.2,10.252.40.101,2025-02-05 09:19:25,,,SCTP,,92,736
10.252.40.101,10.252.249.2,2025-02-05 09:19:25,,,SCTP,,92,736
10.252.249.1,10.252.40.101,2025-02-05 09:19:25,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:25,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:25,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:26,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:26,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:26,,,GTP,,4800,38400
10.90.0.1,255.255.255.255,2025-02-05 09:19:26,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:27,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:27,,,UDP,,80,640
10.252.249.1,10.252.40.101,2025-02-05 09:19:27,,,GTP,,4752,38016
10.252.40.101,10.252.249.3,2025-02-05 09:19:27,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:27,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:28,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:28,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:28,,,GTP,,4752,38016
10.90.0.1,255.255.255.255,2025-02-05 09:19:28,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:29,,,VRRP,,40,320
10.252.249.1,10.252.40.101,2025-02-05 09:19:29,,,GTP,,4704,37632
10.252.40.101,10.252.249.3,2025-02-05 09:19:29,,,GTP,,4656,37248
10.90.0.1,255.255.255.255,2025-02-05 09:19:29,,,UDP,,48,384
10.252.0.2,224.0.0.18,2025-02-05 09:19:30,,,VRRP,,40,320
10.252.0.2,224.0.0.102,2025-02-05 09:19:30,,,UDP,,80,640
