ds,ipsrc,ipdst,throughput
2025-02-05 09:18:46,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:47,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:48,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:48,10.252.249.2,10.252.40.101,640
2025-02-05 09:18:48,10.252.0.2,224.0.0.102,640
2025-02-05 09:18:48,10.252.40.101,10.252.249.2,384
2025-02-05 09:18:49,10.252.249.2,10.252.40.101,4384
2025-02-05 09:18:49,10.252.40.101,10.252.249.2,3296
2025-02-05 09:18:49,10.252.249.1,10.252.40.101,31872
2025-02-05 09:18:49,10.252.40.101,10.252.249.3,30720
2025-02-05 09:18:50,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:50,10.252.249.2,10.252.40.101,384
2025-02-05 09:18:50,10.252.249.1,10.252.40.101,37632
2025-02-05 09:18:50,10.252.40.101,10.252.249.3,37632
2025-02-05 09:18:51,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:51,10.252.0.2,224.0.0.102,640
2025-02-05 09:18:51,10.252.249.1,10.252.40.101,38016
2025-02-05 09:18:51,10.252.40.101,10.252.249.3,39168
2025-02-05 09:18:52,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:52,10.252.249.1,10.252.40.101,37632
2025-02-05 09:18:52,10.252.40.101,10.252.249.3,38400
2025-02-05 09:18:53,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:53,10.252.249.1,10.252.40.101,37632
2025-02-05 09:18:53,10.252.40.101,10.252.249.3,38400
2025-02-05 09:18:54,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:54,10.252.0.2,224.0.0.102,640
2025-02-05 09:18:54,10.252.249.1,10.252.40.101,37632
2025-02-05 09:18:54,10.252.40.101,10.252.249.3,38784
2025-02-05 09:18:55,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:55,10.252.249.2,10.252.40.101,736
2025-02-05 09:18:55,10.252.40.101,10.252.249.2,736
2025-02-05 09:18:55,10.252.249.1,10.252.40.101,37632
2025-02-05 09:18:55,10.252.40.101,10.252.249.3,38400
2025-02-05 09:18:56,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:56,10.252.249.1,10.252.40.101,38016
2025-02-05 09:18:56,10.252.40.101,10.252.249.3,38016
2025-02-05 09:18:57,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:57,10.252.0.2,224.0.0.102,640
2025-02-05 09:18:57,10.252.249.1,10.252.40.101,37248
2025-02-05 09:18:57,10.252.40.101,10.252.249.3,37632
2025-02-05 09:18:58,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:58,10.252.249.1,10.252.40.101,38400
2025-02-05 09:18:58,10.252.40.101,10.252.249.3,39168
2025-02-05 09:18:58,10.90.0.1,224.0.1.1,608
2025-02-05 09:18:59,10.252.0.2,224.0.0.18,320
2025-02-05 09:18:59,10.252.249.1,10.252.40.101,37632
2025-02-05 09:18:59,10.252.40.101,10.252.249.3,37632
2025-02-05 09:18:59,10.90.0.1,224.0.1.1,384
2025-02-05 09:19:00,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:00,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:00,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:00,10.252.40.101,10.252.249.3,38400
2025-02-05 09:19:00,10.90.0.1,224.0.1.1,384
2025-02-05 09:19:01,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:01,10.252.249.2,10.252.40.101,736
2025-02-05 09:19:01,10.252.40.101,10.252.249.2,736
2025-02-05 09:19:01,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:01,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:01,10.90.0.1,224.0.1.1,384
2025-02-05 09:19:02,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:02,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:02,10.252.40.101,10.252.249.3,38400
2025-02-05 09:19:02,10.90.0.1,224.0.1.1,384
2025-02-05 09:19:03,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:03,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:03,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:03,10.252.40.101,10.252.249.3,36864
2025-02-05 09:19:03,10.90.0.1,224.0.1.1,384
2025-02-05 09:19:04,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:04,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:04,10.252.40.101,10.252.249.3,39168
2025-02-05 09:19:04,10.90.0.1,224.0.1.1,384
2025-02-05 09:19:05,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:05,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:05,10.252.40.101,10.252.249.3,37632
2025-02-05 09:19:05,10.90.0.1,224.0.1.1,384
2025-02-05 09:19:06,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:06,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:06,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:06,10.252.40.101,10.252.249.3,38400
2025-02-05 09:19:06,10.90.0.1,224.0.1.1,384
2025-02-05 09:19:06,10.90.0.1,255.255.255.255,1576
2025-02-05 09:19:07,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:07,10.252.249.2,10.252.40.101,736
2025-02-05 09:19:07,10.252.40.101,10.252.249.2,736
2025-02-05 09:19:07,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:07,10.252.40.101,10.252.249.3,37632
2025-02-05 09:19:07,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:08,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:08,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:08,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:08,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:09,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:09,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:09,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:09,10.252.40.101,10.252.249.3,38400
2025-02-05 09:19:09,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:10,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:10,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:10,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:10,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:11,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:11,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:11,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:11,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:12,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:12,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:12,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:12,10.252.40.101,10.252.249.3,37632
2025-02-05 09:19:12,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:13,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:13,10.252.249.2,10.252.40.101,736
2025-02-05 09:19:13,10.252.40.101,10.252.249.2,736
2025-02-05 09:19:13,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:13,10.252.40.101,10.252.249.3,38400
2025-02-05 09:19:13,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:14,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:14,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:14,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:14,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:15,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:15,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:15,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:15,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:15,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:16,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:16,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:16,10.252.40.101,10.252.249.3,38400
2025-02-05 09:19:16,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:17,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:17,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:17,10.252.40.101,10.252.249.3,37632
2025-02-05 09:19:17,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:18,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:18,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:18,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:18,10.252.40.101,10.252.249.3,37632
2025-02-05 09:19:18,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:19,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:19,10.252.249.2,10.252.40.101,736
2025-02-05 09:19:19,10.252.40.101,10.252.249.2,736
2025-02-05 09:19:19,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:19,10.252.40.101,10.252.249.3,38784
2025-02-05 09:19:19,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:20,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:20,10.252.249.2,10.252.40.101,672
2025-02-05 09:19:20,10.252.40.101,10.252.249.2,672
2025-02-05 09:19:20,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:20,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:20,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:21,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:21,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:21,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:21,10.252.40.101,10.252.249.3,38400
2025-02-05 09:19:21,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:22,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:22,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:22,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:22,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:23,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:23,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:23,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:23,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:24,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:24,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:24,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:24,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:24,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:25,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:25,10.252.249.2,10.252.40.101,736
2025-02-05 09:19:25,10.252.40.101,10.252.249.2,736
2025-02-05 09:19:25,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:25,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:25,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:26,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:26,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:26,10.252.40.101,10.252.249.3,38400
2025-02-05 09:19:26,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:27,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:27,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:27,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:27,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:27,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:28,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:28,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:28,10.252.40.101,10.252.249.3,38016
2025-02-05 09:19:28,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:29,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:29,10.252.249.1,10.252.40.101,37632
2025-02-05 09:19:29,10.252.40.101,10.252.249.3,37248
2025-02-05 09:19:29,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:30,10.252.0.2,224.0.0.18,320
2025-02-05 09:19:30,10.252.0.2,224.0.0.102,640
2025-02-05 09:19:30,10.252.249.1,10.252.40.101,38016
2025-02-05 09:19:30,10.252.40.101,10.252.249.3,38400
2025-02-05 09:19:30,10.90.0.1,255.255.255.255,384
2025-02-05 09:19:31,10.252.0.2,224.0.0.18,320
